USD,2019-12-31,1.5995
USD,2019-12-30,1.5992
USD,2019-12-27,1.5996
USD,2019-12-24,1.6019
USD,2019-12-23,1.6008
USD,2019-12-20,1.6088
USD,2019-12-19,1.6188
USD,2019-12-18,1.6227
USD,2019-12-17,1.6294
USD,2019-12-16,1.6177
USD,2019-12-13,1.6159
USD,2019-12-12,1.6165
USD,2019-12-11,1.6194
USD,2019-12-10,1.6275
USD,2019-12-09,1.6228
USD,2019-12-06,1.619
USD,2019-12-05,1.6251
USD,2019-12-04,1.6203
USD,2019-12-03,1.6186
USD,2019-12-02,1.624
USD,2019-11-29,1.6228
USD,2019-11-28,1.6253
USD,2019-11-27,1.622
USD,2019-11-26,1.6251
USD,2019-11-25,1.6232
USD,2019-11-22,1.6287
USD,2019-11-21,1.6282
USD,2019-11-20,1.6227
USD,2019-11-19,1.6234
USD,2019-11-18,1.6242
USD,2019-11-15,1.6221
USD,2019-11-14,1.6213
USD,2019-11-13,1.6127
USD,2019-11-12,1.6087
USD,2019-11-11,1.6105
USD,2019-11-08,1.6065
USD,2019-11-07,1.6059
USD,2019-11-06,1.607
USD,2019-11-05,1.6079
USD,2019-11-04,1.6158
USD,2019-11-01,1.6151
USD,2019-10-31,1.6137
USD,2019-10-30,1.6199
USD,2019-10-29,1.6186
USD,2019-10-28,1.6245
USD,2019-10-25,1.627
USD,2019-10-24,1.6273
USD,2019-10-23,1.6252
USD,2019-10-22,1.6237
USD,2019-10-21,1.624
USD,2019-10-18,1.6278
USD,2019-10-17,1.6294
USD,2019-10-16,1.6394
USD,2019-10-15,1.6293
USD,2019-10-14,1.6325
USD,2019-10-11,1.6246
USD,2019-10-10,1.6307
USD,2019-10-09,1.6282
USD,2019-10-08,1.6286
USD,2019-10-07,1.6316
USD,2019-10-04,1.6247
USD,2019-10-03,1.6294
USD,2019-10-02,1.6351
USD,2019-10-01,1.6274
USD,2019-09-30,1.6126
USD,2019-09-27,1.6187
USD,2019-09-26,1.6162
USD,2019-09-25,1.6236
USD,2019-09-24,1.6189
USD,2019-09-23,1.6224
USD,2019-09-20,1.6243
USD,2019-09-19,1.6291
USD,2019-09-18,1.6149
